Sample Name,ethane,Ethene,PROPANE,Propene,I-BUTANE,N-BUTANE,ETHYNE,1-Butene,t-2-Butene,c-2-Butene,cycopentane,I-PENTANE,N-PENTANE,t-2-pentene,1-pentene,cis-2-pentene,n-Hexane,isoprene,1-hexene,"2,4 dimethylpentane",n-Heptane,Benzene,cyclohexane,"2,3-dmp",2-methylhexane,3-methylhexane,"2,2,4-tmp",methylcyclohexane,"2,3,4 tmp",Toluene,2-methylheptane,3-methylheptane,n-octane,Ethylbenzene,m+p-xylene,Styrene,o-xylene,n-nonane,I-propylbenzene,n-propylbenzene,3-ethyltoluene,4-ethyltoluene,"1,3,5-trimethylbenzene",2-ethyltoluene,"1,2,4-trimethylbenzene",n-decane,"1,2,3-trimethylbenzene","1,3-diethylbenzene","1,4-diethylbenzene",C2HCl3,C2Cl4,acetonitrile,Acetaldehyde,Acetone,Isopropanol,Methylethylketone,a-pinene,b-pinene,limonene,Camphene
190723_1430_W14B_CH7_M,88.289,548.168,19.309,75.812,1.46,8.008,736.085,2.411,21.632,1.964,0.85,2.665,18.311,0.829,5.941,1.056,17.105,10.783,NA,0.386,3.182,198.604,0.541,0.257,0.108,0.199,0.401,7.684,0.144,15.403,0.066,0.234,0.67,1.643,1.657,5.691,1.805,0.315,0.097,0.36,0.459,0.327,0.153,0.648,0.45,1.798,0.141,0.093,0.155,61.8,47.7,824.481,41.107,23.021,10.788,2.065,NA,NA,NA,0.024
190723_1300_W12P_CH7_M,38.803,297.051,9.716,60.703,1.543,4.923,26.305,3.499,32.238,3.284,0.628,2.982,26.62,1.038,14.279,1.758,21.04,9.937,NA,0.156,4.899,608.482,1.687,0.43,0.296,0.494,0.693,13.59,0.969,18.851,1.442,2.145,2.599,4.543,4.333,4.894,1.529,0.659,0.131,0.556,0.307,0.221,0.145,0.304,0.459,0.832,0.132,0.098,0.197,58.2,38.7,1186.407,89.314,27.984,20.414,10.01,NA,NA,NA,0.043
190723_1600_W12B_CH7_M,58.085,308.337,14.19,43.893,0.939,6.034,418.289,1.79,13.792,1.424,0.613,1.777,7.096,0.585,3.388,0.716,7.081,5.515,NA,0.209,1.474,98.222,0.383,0.127,0.072,0.085,0.214,2.114,0.107,10.252,0.075,0.223,NA,1.351,1.16,2.847,1.407,0.41,0.059,0.311,0.282,0.298,0.101,0.506,0.34,0.343,0.116,0.088,0.275,152.7,44.6,269.149,32.397,16.577,9.932,2.085,NA,NA,NA,0.013
190723_1100_W14P_CH7_M,49.59,368.671,9.098,75.053,1.433,5.687,33.164,3.316,44.148,3.282,0.435,3.17,3.549,0.403,14.775,1.183,6.813,13.911,NA,0.36,7.162,1149.968,2.282,0.261,0.354,0.322,0.762,1.137,0.808,22.034,0.367,NA,NA,4.062,3.455,7.216,2.108,0.717,0.133,0.547,0.477,0.22,0.17,0.359,0.635,1.162,0.149,0.094,0.248,21.2,34.1,2619.004,106.358,18.621,40.082,9.154,NA,NA,NA,0.022
210723_0930_TRXP_CH7_M,52.503,94.71,10.91,127.475,2.276,4.137,53.35,1.267,8.823,1.133,0.345,2.277,9.196,1.116,3.104,1.222,4.247,3.317,NA,0.49,1.081,18.144,1.61,0.951,0.968,0.083,0.562,0.187,0.106,25.346,0.417,0.18,0.694,10.447,4.048,257.699,1.664,0.139,0.624,4.387,0.669,0.289,1.695,0.589,1.394,0.336,0.149,0.198,0.357,76.5,15.5,72.69,735.473,48.028,18.084,3.016,NA,0.032,0.019,0.03
210723_1300_CP2P_CH7_M,25.128,32.721,6.69,18.796,2.036,3.489,17.75,0.424,1.33,0.494,0.33,2.702,5.731,0.992,1.081,0.71,4.421,1.289,NA,0.507,0.906,9.168,0.099,0.073,2.09,0.076,0.147,0.217,0.043,11.05,0.057,0.031,0.252,5.056,0.861,122.729,0.413,0.054,0.573,2.509,0.21,0.104,1.008,0.125,0.359,0.173,0.157,0.018,0.039,148.9,11.5,826.348,307.929,109.238,22.086,1.967,NA,0.003,0.026,0.027
240723_0930_CPLB_CH7_M,30.22,118.627,7.609,24.097,1.787,4.847,215.266,0.521,1.911,0.51,0.377,4.266,3.907,0.855,0.65,0.497,6.654,3.079,NA,0.141,0.534,314.359,NA,0.211,0.181,0.306,0.205,0.636,0.042,17.541,0.205,0.419,2.155,2.361,1.364,25.074,0.497,0.091,0.146,0.201,0.263,0.155,0.189,0.096,0.334,0.669,0.141,0.029,0.055,75.2,14.4,2626.477,73.944,12.672,16.241,1.179,0.065,0.015,0.032,0.013
210723_1100_TRXB_CH7_M,37.426,199.59,4.865,48.933,0.916,2.487,335.323,0.497,3.704,0.476,0.263,1.849,3.299,0.878,0.73,0.487,2.214,1.616,NA,0.141,0.383,387.216,0.115,0.151,0.159,0.144,0.298,0.141,0.008,28.847,0.049,0.039,0.125,2.775,1.604,41.182,0.603,0.05,0.099,0.243,0.199,0.159,0.33,0.122,0.442,0.141,0.136,0.049,0.143,49.3,10.2,121.723,70.718,73.757,27.461,0.944,NA,0.022,0.027,0.013
240723_1100_CDXB_CH7_M,61.228,343.456,8.89,33.962,2.635,6.97,275.833,1.2,4.214,1.058,0.426,6.642,3.979,0.59,0.548,0.483,8.687,3.3,NA,0.189,0.582,72.334,0.276,0.212,0.171,0.122,0.16,0.247,0.017,12.98,0.192,0.154,0.768,1.373,2.005,4.202,0.718,0.179,0.083,0.06,0.308,0.278,0.268,0.173,0.413,0.205,0.136,0.042,0.052,225,24.9,899.923,72.615,23.574,28.908,2.993,0.09,0.017,0.154,0.035
210723_1430_CPLB_CH7_M,24.134,103.18,5.093,19.922,1.153,3.03,192.857,0.308,1.297,0.356,0.276,2.697,3.652,0.72,0.571,0.483,5.511,1.535,NA,0.091,0.332,252.644,0.169,0.1,0.21,0.116,0.152,0.149,0.02,14.994,0.082,0.062,0.663,2.28,1.031,27.89,0.414,0.049,0.139,0.324,0.258,0.178,0.219,0.064,0.287,0.407,0.135,0.046,0.076,NA,8.3,4881.217,93.517,66.889,27.554,1.593,0.082,0.007,0.063,0.017
260723_0930_OSBP_CH7_M,1079.974,828.193,228.015,459.467,7.435,49.272,242.053,35.706,90.984,28.217,1.44,6.088,23.03,12.497,29.736,11.318,15.989,20.793,NA,0.119,4.97,82.501,2.05,1.416,4.432,4.017,0.116,0.475,NA,80.514,1.98,0.792,4.102,6.087,22.698,2.998,6.376,1.798,0.181,1.029,2.567,1.236,2.394,1.17,3.116,1.715,1.122,0.177,0.608,497.7,43.5,1006.126,931.089,346.407,5.383,81.876,1.069,0.625,0.448,0.01
240723_1300_DFUP_CH7_M,769.852,720.433,159.259,291.432,9.06,30.304,282.375,20.77,42.565,16.116,0.856,8.073,7.379,5.159,6.373,4.809,8.272,10.522,NA,0.083,2.013,43.99,0.773,1.186,3.932,4.653,0.104,0.527,NA,24.7,0.842,0.185,2.185,3.429,8.914,2.276,4.86,0.714,0.104,0.513,1.927,0.968,1.158,0.597,2.931,1.127,0.594,0.17,0.409,NA,8.1,2337.356,1027.976,256.713,36.43,93.533,NA,NA,NA,0.037
240723_1600_BLKN_CH7_M,17.509,2.628,6.623,3.249,3.475,8.059,0.903,0.872,1.534,0.795,0.323,5.162,3.652,0.427,0.608,0.383,1681.178,2.576,NA,0.209,0.473,3.578,9.235,0.119,0.421,0.194,0.064,0.089,NA,2.196,0.089,0.19,5.284,0.189,0.703,0.144,0.218,0.088,0.011,0.064,0.137,0.041,0.088,0.052,0.193,4.884,0.089,0.029,0.088,485.3,17.5,1431.223,66.235,56.627,33.686,2.221,NA,0.214,0.289,0.012
270723_0930_SYPP_CH7_M,825.762,808.223,167.662,380.098,6.513,33.785,231.377,24.468,65.609,19.039,1.217,8.46,19.677,6.611,21.667,6.598,15.562,12.547,NA,0.729,7,77.037,2.815,1.059,1.436,3.473,0.594,1.729,NA,52.265,0.547,0.402,4.925,6.617,15.321,6.185,5.608,0.859,0.48,1.445,3.733,1.713,1.613,1.136,4.669,0.998,1.805,0.265,1.015,NA,13,5473.936,1092.738,281.97,148.08,87.122,10.063,2.881,8.758,1.921
260723_1100_OSBB_CH7_M,51.874,245.074,8.086,26.503,1.552,3.894,161.362,0.77,4.198,0.713,0.371,3.282,3.127,0.433,0.928,0.506,3.281,2.988,NA,0.098,0.558,43.977,0.194,0.237,0.257,0.149,0.083,0.238,0.025,9.56,0.091,0.14,1.825,1.213,4.023,2.739,1.12,0.111,0.039,0.142,0.234,0.137,0.182,0.157,0.495,0.786,0.143,0.045,0.064,590.2,44.1,3969.311,55.548,30.504,17.074,4.309,NA,0.03,0.076,0.008
270723_1330_SYPF_CH7_M,116.215,412.338,23.901,52.665,6.899,7.726,211.089,1.426,9.568,1.155,0.393,1.51,2.733,0.564,2.828,0.705,13.895,4.481,NA,0.096,0.343,84.961,0.291,0.153,0.238,0.626,0.172,0.11,NA,16.137,0.128,0.312,2.176,2.157,1.611,5.159,0.71,0.31,0.161,0.101,0.545,0.139,0.106,0.192,0.244,0.582,0.184,0.038,0.092,NA,7,9385.801,94.23,34.029,22.629,6.553,2.986,1.448,1.204,0.102
280723_00930_SYPB_CH7_M,76.591,271.41,9.849,35.306,1.227,3.147,157.207,1.134,5.814,0.823,0.21,2.141,2.037,0.476,1.587,0.371,5.774,3.07,NA,0.083,0.414,51.97,0.196,0.184,0.127,0.091,0.223,0.073,NA,12.507,0.098,0.074,0.163,1.588,1.358,4.034,0.655,0.132,0.084,0.124,0.507,0.173,0.166,0.147,0.406,0.031,0.119,0.047,0.11,NA,41.5,414.69,67.828,25.805,3.986,3.319,3.357,1.298,0.901,0.119
230723_1300_CDXP_CH7_M,1117.936,784.649,231.826,404.748,15.844,40.682,326.651,28.303,57.926,21.483,1.069,6.227,14.524,7.636,13.028,7.02,40.825,15.382,NA,0.029,4.355,69.25,0.627,0.61,2.411,3.628,0.078,0.035,NA,54.823,1.264,0.352,5.288,7.814,32.513,5.524,6.807,1.183,0.661,1.202,4.676,6.088,13.091,1.212,6.301,3.802,2.197,0.235,1.394,NA,5.9,9453.215,1242.604,342.805,11.414,117.247,14.682,0.202,3.863,0.584
280723_1130_SYPP_CH7_M,829.237,811.881,166.084,376.935,5.873,32.46,250.67,23.852,66.69,18.747,0.887,3.401,17.176,5.978,22.859,6.011,11.053,13.721,NA,0.062,4.153,70.175,0.842,1.383,2.957,4.707,0.175,0.177,NA,48.048,0.834,0.753,2.823,5.486,12.664,6.693,5.106,1.386,0.399,1.393,3.445,1.431,1.525,1.034,3.943,0.504,1.936,0.315,0.873,NA,14.7,322.502,1111.334,331.778,4.993,106.444,6.487,2.798,8.427,2.117
260723_1300_JSGP_CH7_M,934.481,690.409,188.625,373.535,6.293,25.767,247.374,29.472,56.749,23.221,0.852,3.395,5.325,8.283,7.776,7.398,104.64,19.808,NA,0.086,1.548,59.932,0.741,0.877,2.514,4.713,0.094,0.288,NA,36.807,1.106,0.535,1.276,4.058,12.637,3.533,6.152,0.466,0.161,0.682,2.992,1.466,1.386,0.882,3.937,0.919,1.143,0.28,0.608,NA,28.2,1997.263,1118.035,334.432,42.77,115.782,4.475,NA,2.566,0.019
270723_1100_DFUB_CH7_M,239.738,607.518,39.229,107.663,4.898,6.203,410.342,4.607,15.873,3.626,0.334,2.375,2.374,6.775,1.755,1.804,3.398,6.686,NA,0.186,0.507,108.585,0.415,0.345,1.359,2.897,0.213,0.092,NA,21.413,0.557,0.331,1.43,2.934,2.798,8.349,1.46,0.102,0.164,0.244,1.026,0.412,0.24,0.399,0.792,0.463,0.256,0.085,0.179,91.1,20.1,7018.142,279.062,83.582,23.918,34.079,NA,NA,NA,0.029
250723_1430_BLKP_CH7_MD,37.192,2.485,5.318,0.903,1.969,2.548,1.636,0.105,0.222,0.088,0.418,2.639,6.225,0.123,0.163,0.076,100.029,4.981,NA,0.087,0.454,0.609,0.851,0.169,0.087,0.153,0.061,0.069,0.034,1.054,0.57,0.641,4.627,0.112,0.332,0.079,0.117,0.048,0.011,0.034,0.061,0.056,0.044,0.02,0.085,1.485,0.031,0.012,0.021,280,15.4,10309.216,18.996,12.398,14.41,0.737,NA,NA,0.207,0.011
240723_1430_MDFP_CH7_M,127.084,330.776,36.91,91.783,7.378,17.268,188.722,5.028,18.401,3.806,0.446,7.461,8.018,1.011,8.209,1.254,19.024,5.333,NA,0.125,1.583,10.02,1.233,0.878,1.888,1.578,0.113,2.342,0.392,7.619,0.832,1.007,14.332,0.72,1.537,1.237,0.657,0.421,0.098,0.201,0.288,0.132,0.379,0.162,0.459,5.452,0.271,0.044,0.147,131.5,8.3,36612.852,641.351,132.493,39.35,35.618,NA,0.05,1.025,0.136
310723_0930_DSOP_CH7_M,921.881,755.993,168.355,337.542,6.158,30.403,225.826,23.170,59.059,18.343,0.849,2.801,12.960,6.107,17.870,6.154,26.404,12.608,NA,0.042,2.996,62.442,0.586,0.207,NA,NA,0.069,0.079,NA,69.232,0.372,0.328,2.034,7.157,14.715,7.709,5.406,0.705,0.393,1.113,2.576,1.271,2.100,0.832,3.333,0.914,1.343,0.181,0.658,405.0,3.2,858.261,1261.368,306.751,13.087,98.907,7.462,1.398,11.689,2.524
020823_1130_HRDP_CH7_M,110.100,28.275,11.230,8.026,7.732,2.531,8.970,0.474,1.559,0.323,0.218,1.346,1.687,0.109,0.321,0.097,21.937,1.418,NA,0.021,0.168,3.150,0.055,0.037,0.067,0.022,0.076,0.028,0.005,1.242,0.020,0.065,1.368,0.221,0.405,5.327,0.188,0.073,0.034,0.047,0.163,0.037,0.066,0.077,0.252,0.351,0.078,0.017,0.058,939.0,11.9,1458.319,41.555,37.338,40.777,4.417,0.083,0.025,0.443,0.031
310723_1100_CPLP_CH7_M,40.413,100.958,9.510,30.493,4.357,3.613,41.223,0.961,2.857,0.798,0.248,1.508,11.152,1.341,1.768,1.025,4.742,1.844,NA,0.088,0.747,18.343,0.223,0.023,0.778,NA,0.066,0.199,NA,32.351,0.136,0.302,1.209,12.273,1.025,202.615,0.566,0.112,0.683,5.604,0.162,0.079,0.974,0.221,0.325,0.840,0.103,0.090,0.238,888.5,3.2,6103.290,1061.342,45.095,16.861,5.441,NA,NA,0.069,0.015
280723_1330_DSOB_CH7_M,87.224,277.689,15.110,30.327,6.785,19.509,163.587,1.227,5.664,1.151,0.229,10.352,2.882,0.377,0.906,0.377,7.324,2.082,NA,0.637,0.325,48.137,0.313,0.190,0.773,0.235,0.887,0.083,0.050,11.144,0.141,0.065,0.169,1.378,1.257,2.893,0.677,0.119,0.073,0.083,0.256,0.165,0.149,0.110,0.260,0.099,0.084,0.050,0.066,200.9,12.6,113.768,78.587,85.890,21.936,5.151,0.902,0.037,0.674,0.055
020823_1430_LVPB_CH7_M,76.948,134.485,16.556,26.454,6.682,11.664,95.542,1.587,7.538,1.348,0.871,2.503,4.298,0.250,3.076,0.577,19.959,3.264,NA,0.023,0.899,55.690,0.565,0.064,0.034,0.086,0.053,0.232,0.008,11.457,0.025,0.169,7.023,1.612,1.640,3.009,1.742,0.339,0.063,0.448,0.608,0.369,0.101,0.650,0.487,2.725,0.154,0.102,0.368,NA,264.3,22940.171,24.992,77.113,35.161,1.795,NA,0.084,0.798,0.019
010823_1115_PUFP_CH7_M,22.439,2.240,5.211,1.668,1.049,1.942,3.796,0.033,0.038,0.100,0.196,0.887,0.891,0.027,0.023,0.009,21.917,0.033,NA,0.019,0.014,5.542,0.045,0.008,0.046,0.016,0.091,0.030,0.007,2.251,0.143,0.021,0.327,1.135,0.589,59.601,0.208,0.273,0.205,0.209,0.079,0.060,0.097,0.187,0.223,0.574,0.073,0.116,0.111,130.8,21.2,4968.221,23.695,23.661,38.757,1.973,NA,0.145,1.078,0.108
310723_1300_PVCP_CH7_M,134.774,228.103,47.973,59.578,2.472,22.348,18.366,7.374,20.356,5.568,3.185,1.832,11.414,2.913,9.871,2.985,22.637,3.294,NA,0.165,3.593,1726.660,1.335,0.058,0.198,0.427,0.066,0.955,0.124,82.795,0.093,0.177,4.872,16.331,6.679,12.829,18.878,1.153,0.645,4.544,2.181,1.993,0.182,8.855,1.612,4.604,0.478,0.429,1.840,1848.0,332.8,10976.377,62.929,24.613,20.076,4.705,NA,0.098,0.893,0.030
Test(Air),27.095,1.150,5.724,1.372,2.318,4.366,1.195,0.397,0.841,0.390,0.176,1.880,1.429,0.083,0.096,0.051,88.925,2.449,NA,0.026,0.210,0.999,0.441,0.159,0.068,0.173,0.051,0.062,0.010,6.194,0.029,0.092,1.850,2.672,0.311,468.115,NA,0.064,0.150,0.143,0.064,0.024,0.032,0.047,0.087,2.709,0.112,0.035,0.063,1420.3,12.9,2828.240,31.653,36.251,37.767,2.711,NA,0.126,0.615,0.003
010823_0930_PUE_CH7_M,42.156,291.532,10.111,146.072,30.958,1.721,450.178,0.275,4.988,0.222,0.143,0.975,4.494,0.092,0.467,0.056,30.015,0.918,NA,0.016,0.313,153.806,0.030,0.089,0.087,0.064,0.162,0.047,0.018,11.897,0.057,0.183,4.775,0.945,0.678,8.689,0.344,0.188,0.060,0.112,0.100,0.097,0.077,0.082,0.167,1.618,0.162,0.045,0.099,1361.3,9.1,19604.931,129.018,50.704,14.504,3.664,NA,0.225,0.404,0.061
020823_1330_LVPP_CH7_M,129.119,143.025,44.087,64.255,5.147,28.506,13.831,6.182,22.587,5.086,2.577,3.798,12.219,1.361,9.281,1.637,9.718,2.649,NA,0.008,3.885,168.088,1.851,0.108,0.191,0.143,0.068,0.599,0.064,33.693,0.061,0.147,4.260,5.747,3.069,4.101,4.468,1.463,0.251,1.777,1.256,0.518,0.215,2.128,0.795,1.435,0.288,0.173,0.520,457.7,86.1,1877.402,67.340,45.677,23.263,4.342,NA,0.044,0.186,0.021
310723_1530_XPSB_CH7_M,25.695,49.363,6.426,2.900,4.521,11.483,141.177,0.556,0.558,0.354,0.213,4.312,2.750,0.224,0.172,0.116,8.975,1.006,NA,0.016,0.331,127.793,0.036,0.090,0.080,0.149,0.076,0.075,0.009,22.556,0.090,0.054,0.378,2.956,0.877,179.860,0.652,0.169,0.281,0.148,0.142,0.072,0.046,0.124,0.182,0.399,0.040,0.032,0.059,703.8,10.0,748.129,19.068,22.232,83.822,1.587,NA,0.054,0.622,0.026
020823_1030_HRDP_CH7_M,167.702,70.827,18.800,42.282,5.649,4.280,8.077,3.148,8.680,2.425,0.281,2.132,5.083,0.458,1.944,0.720,11.549,2.409,NA,0.014,0.356,4.414,0.270,0.357,0.754,1.098,0.074,0.062,0.010,3.095,0.117,0.384,8.623,0.872,0.754,25.319,0.725,0.224,0.034,0.075,0.189,0.068,0.075,0.089,0.257,2.130,0.089,0.077,0.082,381.3,17.7,10772.311,211.114,79.576,51.466,20.058,NA,0.047,0.666,0.021
310723_1430_PVCB_CH7_M,115.642,252.379,30.820,56.752,4.427,20.353,279.393,3.961,13.649,3.211,1.726,4.161,7.061,0.780,5.807,1.027,8.134,2.948,NA,0.026,1.491,673.908,0.445,0.016,0.033,0.086,0.076,0.476,0.042,53.680,0.035,0.034,1.068,8.014,4.962,14.312,11.727,0.428,0.351,2.032,1.365,1.052,0.156,4.229,1.337,1.855,0.386,0.299,1.005,NA,1402.0,213.318,29.571,21.699,27.582,2.662,NA,0.056,NA,0.018
010823_1515_BLKB_CH7_M,26.858,1.377,6.325,0.772,7.511,3.325,0.443,0.060,0.257,0.077,0.171,1.915,5.644,0.048,0.130,0.040,15.575,1.695,NA,0.025,0.239,0.237,0.368,0.104,0.048,0.057,0.066,0.038,0.016,0.678,0.043,0.170,6.316,0.061,0.181,6.000,0.096,0.198,0.017,0.012,0.043,0.018,0.015,0.025,0.135,2.704,0.030,0.013,0.029,1347.4,15.4,12180.939,17.099,65.807,15.964,1.239,NA,0.062,1.707,0.127
040823_0930_OSBB_CH7_M,161.695,466.743,21.716,60.705,2.084,6.541,334.032,2.204,9.661,1.908,0.452,3.298,3.929,0.865,1.852,0.845,2.833,0.967,NA,0.132,0.707,87.895,0.070,0.257,0.394,0.144,0.158,0.180,0.004,43.061,0.109,0.016,0.352,2.687,9.900,4.577,0.984,0.190,0.127,0.202,0.720,0.778,0.435,0.329,0.799,0.361,0.171,0.109,0.200,124.1,16.4,133.883,10.098,1.475,0.062,5.844,NA,0.059,NA,0.030
040823_1100_OSBSP_CH7_M,1041.953,752.911,228.304,350.585,7.993,50.709,240.376,25.548,71.533,20.533,1.465,5.428,26.642,7.991,26.772,7.306,14.419,9.513,NA,0.089,8.223,73.164,1.100,1.638,4.278,NA,0.161,0.484,0.031,92.097,0.453,0.189,4.889,7.163,29.073,66.095,5.986,1.542,0.312,1.600,2.784,3.735,1.804,1.576,3.872,1.538,1.332,0.344,1.319,49.4,18.4,108.046,0.333,0.180,0.192,87.935,NA,NA,NA,0.014
040823_1300_BLKP_CH7_M,25.945,1.627,7.816,1.922,1.687,4.526,0.695,0.163,0.142,0.171,0.230,2.516,2.443,0.123,0.062,0.064,6.297,0.974,NA,0.023,0.246,0.667,0.292,0.149,0.104,0.182,0.091,0.120,0.002,1.514,0.085,0.046,0.139,0.201,0.808,0.216,0.197,0.082,0.040,0.075,0.221,0.090,0.089,0.126,0.294,0.115,0.107,0.061,0.166,651.6,15.4,89.645,8.496,0.217,0.079,1.031,0.049,0.074,0.124,0.007
